,alltottils,B-cells,DC,Macrophages,Exhausted CD8,T-cells,CD8 T cells,Neutrophils,Cytotoxic cells,Treg,NK CD56dim cells,Mast cells,NK cells,Th1 cells
TCGA.OR.A5JA.01A.11R.A29S.07,2.727409975,0.800096891,2.660292119,7.379148485,3.426017681,1.812945124,1.965953938,3.24450592,2.242259843,4.139354887,2.789131716,4.486615561,0.803703677,0
TCGA.OR.A5J8.01A.11R.A29S.07,5.941448608,1.881664427,9.148952043,11.54438914,6.514026659,6.032618474,8.081437936,4.802642996,6.818799292,5.447985765,2.030051884,5.474961402,2.809654879,5.528946321
TCGA.P6.A5OF.01A.11R.A29S.07,2.913559717,0.854275224,3.442901307,7.263894471,3.253725812,1.741482136,2.754184354,3.892401042,2.815024689,3.441881812,0.866538939,1.562306477,0.373273651,1.563353406
TCGA.OR.A5KY.01A.11R.A29S.07,3.224866511,0.295872996,2.550548751,8.030896896,4.002955926,2.323324138,4.143349996,3.1709008,2.979656879,2.949534933,1.731775139,2.112007987,0.176257111,1.684190366
TCGA.OR.A5J2.01A.11R.A29S.07,3.415730231,1.656683348,5.885659021,7.788526171,3.628710054,3.927967918,4.438328214,2.085944577,3.345349465,4.042390443,1.979979185,4.500005892,0.325402422,0.8522386
TCGA.OR.A5JJ.01A.11R.A29S.07,3.750244349,2.177879875,3.972535402,6.211754431,4.269322185,4.048301093,5.652073382,1.810564164,4.734974586,4.399964016,1.389784039,3.349154864,1.633640724,2.857423709
TCGA.OR.A5LH.01A.11R.A29S.07,3.992778795,0.84016616,5.231522783,7.373405615,3.756832301,3.777088699,4.976098271,3.315319952,5.150008622,1.924897994,2.42335211,1.93787705,2.249203254,3.598639139
TCGA.OR.A5J5.01A.11R.A29S.07,2.839017763,1.627937632,1.917302363,6.381048618,3.283164052,1.806729831,2.853557537,1.861717747,3.930105708,4.373571655,0.84695533,2.967128492,0.275831291,2.994815025
TCGA.OR.A5L5.01A.11R.A29S.07,5.24832325,3.168828879,7.543737198,8.397204184,5.770445322,4.802984253,6.234811814,2.861842806,6.455950796,2.577730931,2.674129399,9.22320827,3.920006405,5.145979004
TCGA.OR.A5JL.01A.11R.A29S.07,3.338255539,1.335460564,3.888436913,7.765398438,3.486097281,2.498919663,3.195387087,2.499886532,4.013586118,2.525868423,2.095896971,2.740059952,0.608097927,2.386341925
TCGA.OR.A5LJ.01A.11R.A29S.07,3.905798402,0.864401947,1.893321088,6.565449589,4.399498141,4.997814118,6.725578238,2.300913936,4.541890563,4.702602139,1.089775058,1.736565353,0.777566386,3.401166239
TCGA.OR.A5JF.01A.11R.A29S.07,2.365161086,0.547403409,2.439508938,5.593174645,4.048527156,1.746123517,2.353711914,1.717416213,2.554236637,2.39270209,0.792513309,1.441829489,0.275207611,1.88869455
TCGA.OR.A5JY.01A.31R.A29S.07,3.015945466,1.24322447,3.35350052,7.965128414,2.867979261,2.174368061,1.30916184,3.616609703,2.740165752,2.97630864,1.742157244,0.745581752,0.307576891,2.453728272
TCGA.OR.A5LP.01A.11R.A29S.07,4.43082644,1.100100879,4.665969803,9.216960612,5.518798651,4.143565573,4.713070676,3.426390084,4.904402692,3.359001009,1.263201849,7.67948686,2.070161892,3.533339078
TCGA.OR.A5J3.01A.11R.A29S.07,2.446188574,0.642436595,3.491134228,6.214403843,3.745443405,0.75742711,1.395907036,2.152887158,3.150638701,3.221057311,2.306311802,3.206066921,0,1.752748591
TCGA.OR.A5KW.01A.11R.A29S.07,2.317643255,0.689374388,3.01178501,6.100076509,3.03633505,1.429215959,1.638593069,1.618680153,2.897906981,3.102221394,2.079562137,1.995508946,0.415286901,1.056652887
TCGA.PK.A5HB.01A.11R.A29S.07,1.990888093,0.429270936,2.737198195,7.011894429,2.077489746,0.352052986,1.787596297,2.376013137,2.058380055,1.933119364,0,2.439210239,0,0.849518948
TCGA.OR.A5JK.01A.11R.A29S.07,6.349107154,4.630670991,4.292265585,8.628014131,6.703424083,6.915928262,9.204608907,3.523154471,6.88880693,5.095435002,4.47824279,2.151350086,4.125063275,5.012291549
TCGA.OR.A5JD.01A.11R.A29S.07,4.722755797,1.320715582,5.115812227,8.570592018,4.964913721,5.069744424,6.292219205,3.134670086,5.598916929,2.701238528,1.74549703,5.315343523,1.777262303,4.263327424
TCGA.OR.A5JP.01A.11R.A29S.07,2.29451077,0.677823336,4.961615195,6.447886887,3.404005976,1.544130807,1.349740867,1.990219926,2.395165103,3.034515072,0.365735568,2.459932571,0.175089031,2.026516803
TCGA.OR.A5JQ.01A.11R.A29S.07,5.196547922,3.327832721,5.074631873,8.081710152,6.283393997,6.002531361,6.720636115,2.287287767,6.069542828,4.271268788,2.240543936,5.781738531,2.832477734,4.301009575
TCGA.OR.A5JC.01A.11R.A29S.07,3.252417891,1.396687163,4.452274018,6.905336514,5.069027421,2.259271038,2.411136754,2.318520432,4.520838389,3.314754522,0.355130465,4.391943448,1.506187218,2.749577172
TCGA.OR.A5JV.01A.11R.A29S.07,4.942062174,1.477836784,2.406835183,10.44082594,5.086470124,4.845562794,4.907758369,5.756678322,4.341235622,3.582086268,2.066783811,2.011649467,1.36066507,3.573301808
TCGA.OR.A5KV.01A.11R.A29S.07,2.363522886,0.835490715,2.227672186,5.424066803,1.675814733,1.426663855,4.690344418,1.423684495,1.955721271,7.630982743,0.881053539,2.947504133,0.156871651,3.560507094
TCGA.PK.A5H9.01A.11R.A29S.07,4.011317579,0.689057422,5.317298684,7.625202081,5.604413285,3.432942766,4.220765377,3.515436053,4.609941921,2.644248549,1.439794674,6.165336604,2.660011177,2.468922122
TCGA.OR.A5JG.01A.11R.A29S.07,2.455670929,0.453843751,3.741677731,7.603745505,3.609651677,1.53153932,1.809018952,2.207478974,2.717880521,3.68852728,0.510871124,2.76497951,0,0.620492574
TCGA.OR.A5J9.01A.11R.A29S.07,2.528773525,0.483794297,0.920407145,5.014862397,2.218291597,2.157448509,3.179907456,2.383952661,3.600070267,2.774186141,1.141819175,0.83176932,0.249487078,1.604023866
TCGA.OR.A5LO.01A.11R.A29S.07,2.090276749,0.476667829,2.082276209,4.528734596,3.561231423,1.383103109,1.960832426,1.29726094,2.376831617,3.477599622,0.817550983,2.053096989,0.323887701,2.276288212
TCGA.OR.A5LM.01A.11R.A29S.07,2.733966803,1.163854111,2.535043125,7.026787499,3.623086326,1.319825024,2.62610425,2.280568537,2.642208009,1.501311749,0.83278752,2.04488701,1.31533246,1.13796249
TCGA.OR.A5JT.01A.11R.A29S.07,2.925368693,0.798992776,1.93907314,7.006137128,2.89486279,2.056365102,2.727963616,2.432328639,3.497866378,2.402613043,1.191879022,3.017832602,1.717171156,1.752234781
TCGA.OU.A5PI.01A.12R.A29S.07,2.618401419,0.072317383,2.217063044,5.979822443,3.89959334,1.841608562,3.370840568,2.547962279,2.843285589,2.748117693,1.056946819,1.580825808,0.433904298,0.650856448
TCGA.OR.A5J7.01A.11R.A29S.07,1.717132672,0.937292948,1.544244136,5.380308475,1.685598879,0.931346002,1.672264734,1.449447456,1.504910975,2.821506142,0.483383718,0.097311986,0,1.139731422
TCGA.OR.A5KO.01A.11R.A29S.07,1.797671731,0.38587823,1.849281272,5.154762036,2.50368829,1.279454211,2.02052266,1.085706535,1.884012443,3.379842727,0.694410189,1.813018773,0,1.266516713
TCGA.OR.A5J1.01A.11R.A29S.07,3.266503038,0.297593367,1.580909166,7.319558988,2.355222771,3.529222168,3.94664167,2.994260242,3.829032897,6.662459032,1.118484703,2.870697676,0.377259723,3.118509237
TCGA.OR.A5KZ.01A.11R.A29S.07,3.274913762,1.078796629,4.448576673,7.014990886,3.962560482,3.526144677,3.557834341,1.853217639,3.750231674,2.015212085,0.720860305,0.843841153,0.953965814,2.938605728
TCGA.OR.A5JR.01A.11R.A29S.07,4.345604235,1.286261628,2.285038175,7.733471344,4.907889815,4.105792064,5.130709407,2.726923792,5.374958939,2.102926827,1.912317363,4.583321657,2.830303615,3.616781127
TCGA.OR.A5K4.01A.11R.A29S.07,2.278112421,0.663191526,1.160789082,5.166814888,2.368154994,1.412879855,2.960218709,1.876151116,2.882470763,2.842817965,1.665618888,2.445671623,0.575409309,1.084404483
TCGA.OR.A5JS.01A.11R.A29S.07,2.407520974,0.725195115,2.579504223,4.955165754,2.227619139,2.509999273,3.581766249,1.746759622,3.009375766,3.205423794,0.540681413,1.944995409,0.417726761,2.232537969
TCGA.OR.A5K5.01A.11R.A29S.07,2.173303005,0.531738467,1.954392062,5.985440282,2.325660483,1.386506293,1.820986844,1.893413738,2.804844453,1.911001224,2.244432109,1.262222341,0.313376385,0.5452765
TCGA.PK.A5H8.01A.11R.A29S.07,2.621114567,0.652125738,3.017552953,8.346727185,2.810155307,1.378842435,1.642294081,3.823479339,2.224126166,3.690562363,0.459949596,1.38849787,0.233361516,0
TCGA.OR.A5L8.01A.11R.A29S.07,2.040977356,1.012273827,1.595921919,5.128687802,2.299046895,0.902539349,1.903464682,0.990523058,2.375487446,2.075977522,0.921576321,1.181196263,0.971173853,1.376401527
TCGA.OR.A5JW.01A.11R.A29S.07,2.424121077,0.487593883,1.344755208,6.825439262,3.06482881,1.250347416,0.930521114,2.903917261,1.836689019,2.027118656,0.766886274,2.169113135,0,1.861042228
TCGA.OR.A5JO.01A.11R.A29S.07,6.497734217,3.198247496,8.657556619,10.13837815,7.448362673,6.411278784,7.067133027,3.869953077,8.455694945,3.020786641,3.798451842,10.5747353,5.12640383,5.979346306
TCGA.OR.A5JX.01A.11R.A29S.07,3.113918157,1.575645442,0.919511984,6.244942945,3.377701143,2.351004518,3.170275139,2.733583589,4.212888202,3.956883734,2.203211292,3.357344011,0.640372622,2.290335928
TCGA.OR.A5LS.01A.11R.A29S.07,2.472698533,1.840481712,1.907786019,6.460359023,2.970565308,1.035046983,1.413767261,2.039368158,2.519749435,2.346559828,1.249010713,2.118068202,0.248799589,1.600697931
TCGA.OR.A5KU.01A.11R.A29S.07,2.322193278,0.998198754,3.820874402,5.640729926,3.345199417,1.88928459,1.804280415,0.792324167,2.59533692,2.459457849,2.059447607,3.284025613,0.536861637,1.697151067
TCGA.OR.A5K0.01A.11R.A29S.07,1.857741726,0.183636498,2.204155268,5.792781965,1.962468891,1.246590271,2.29287732,0.908166491,2.634921236,2.062294438,0.636648828,1.575944449,0.204038851,1.040611928
TCGA.OR.A5K6.01A.11R.A29S.07,2.693083008,0.415222206,2.341170637,7.48252204,1.965362772,1.649459183,2.578674192,2.886439426,2.557523393,4.746882422,2.24671088,2.170455942,0,1.817213924
TCGA.OR.A5KX.01A.11R.A29S.07,2.404067654,0.277717668,2.44196558,6.515818493,3.12832979,1.892949738,1.955651322,2.080472452,3.608352527,2.278817403,0.377556856,3.980349153,0.427776389,1.542010356
TCGA.PK.A5HA.01A.11R.A29S.07,4.710663342,0.376216987,8.329247288,10.11274751,4.965708001,4.725497006,5.879146247,3.528977447,5.800199531,3.9980059,0.805658246,4.896609596,2.35276837,4.381670993
TCGA.OR.A5LR.01A.11R.A29S.07,3.516673058,0.906446888,3.810172915,8.136536006,2.853808178,3.083328416,3.755343455,2.573220323,3.798498857,3.231632086,1.909623335,5.94993738,1.822198623,2.777724793
TCGA.OR.A5JM.01A.11R.A29S.07,1.379953464,0.09965895,1.274376943,4.646949507,2.138538283,1.243018758,0.722889832,1.031161485,0.469698194,3.202041522,0.700924465,0.683666625,0,0.517023672
TCGA.OR.A5JI.01A.11R.A29S.07,4.809649209,1.517084052,5.887958885,8.343115126,5.845007616,4.944134842,6.52524896,1.923175034,5.665449952,5.452041865,2.054088929,4.264928933,3.027398304,4.798413476
TCGA.OR.A5LG.01A.11R.A29S.07,3.522275463,0.198095482,6.485652628,7.948175247,3.474881664,3.278540419,5.157561663,2.406227513,4.455827533,1.241840184,1.488585358,1.245206818,0.570512986,3.049665615
TCGA.OR.A5JB.01A.11R.A29S.07,6.186701291,1.366126832,6.341320163,9.42181518,6.728786767,6.781835747,8.933816708,5.174518381,8.298221819,5.533986875,3.387802912,4.469229404,3.43831858,5.297198755
TCGA.OR.A5LB.01A.11R.A29S.07,1.735018484,0.277937683,1.505805539,5.639123544,1.695646588,0.904490523,1.721792552,1.240987081,2.128768722,3.373940479,0.987960902,1.748019891,0,0
TCGA.OR.A5JE.01A.11R.A29S.07,2.494263163,0.643463427,2.265905312,7.338679795,1.698859691,1.791182358,1.987905273,2.586959633,2.409776207,3.501834001,2.699848882,2.237873045,0,0.646715661
TCGA.OR.A5J6.01A.31R.A29S.07,3.652369184,1.267309341,8.713310921,9.001435575,2.928252419,2.902923579,3.695200596,3.006888514,4.940221611,2.859810565,1.013250365,0,0.935174947,3.538327083
TCGA.OR.A5LK.01A.11R.A29S.07,5.745242049,3.227959062,6.162464388,8.988035478,6.208618372,6.191834575,7.836375648,3.82735938,6.717440241,4.797718584,2.552061897,10.26669855,2.897178146,4.72376059
TCGA.OR.A5KT.01A.11R.A29S.07,5.075394755,4.86849037,7.919123942,9.859995075,3.559228526,4.362903472,5.031594256,5.807250821,5.750066542,1.970522385,3.424204303,1.136282294,1.084136446,4.270857809
TCGA.OR.A5LT.01A.11R.A29S.07,2.807460494,0.098639911,2.938527238,7.611799513,3.701518981,1.756386163,2.650881678,2.142158075,3.125265132,2.97337249,1.00095677,4.199365491,1.218816907,1.82822536
TCGA.OR.A5K9.01A.11R.A29S.07,1.734287747,0.159579704,1.79856925,6.045393513,2.180658028,0.812128099,1.708055052,1.720089538,0.758711535,3.016710248,0.988452439,1.267382811,0,0
TCGA.OR.A5LE.01A.11R.A29S.07,1.553509745,0.1285676,1.178450075,4.394142655,1.356664623,1.268405492,1.114824722,0.343919191,1.01496766,3.379052532,1.07044496,0.6197937,2.867112175,0.691534165
TCGA.OR.A5LL.01A.11R.A29S.07,2.353600145,0.6222471,5.132546785,6.123125777,2.964646894,1.545220413,2.308284467,3.12056031,2.254322723,2.678409997,0.16911199,2.013477886,0.450965306,1.762433865
TCGA.OR.A5JZ.01A.11R.A29S.07,3.50274226,0.532303143,3.386723753,7.655835904,4.419692801,2.987888838,4.092016768,2.410678822,4.262536055,3.558377853,0.655921281,3.570230349,2.239124284,2.12383171
TCGA.OR.A5K1.01A.11R.A29S.07,3.689876743,0.971102747,3.246968213,6.332901738,3.686337215,3.595889241,3.629320935,2.229427424,5.432300267,2.579397405,2.031101094,4.581465594,2.299737159,3.991481031
TCGA.OR.A5LC.01A.11R.A29S.07,2.421485578,0.220441903,4.528901247,6.889510012,2.377907408,1.805868656,2.359637102,1.77575087,2.8188094,2.540225701,1.091153282,1.712999273,0.249028861,2.34215647
TCGA.OR.A5LA.01A.11R.A29S.07,4.722046503,2.504440642,6.772723278,8.391050015,4.96820895,5.151362578,5.778549459,2.455982655,6.61536585,3.488232201,1.176759701,10.01471625,2.76051789,4.295245475
TCGA.OR.A5K2.01A.11R.A29S.07,2.479510795,0.792902064,4.308112936,6.980798306,2.752329039,1.834438116,2.358111591,2.556697321,2.419752898,2.991517311,0.834259265,1.227023588,0.299389883,0.898169648
TCGA.OR.A5L4.01A.11R.A29S.07,2.73285712,0.617751967,4.074302701,6.901479196,2.95890329,1.768989478,1.813190363,2.632924395,3.679605232,1.645240513,1.156064086,2.411131752,0.257801876,2.738724609
TCGA.OR.A5K3.01A.11R.A29S.07,3.248449551,1.345019614,2.276550779,7.890871628,3.818663161,2.332970128,3.741051975,3.015848144,3.249875375,3.133382684,2.128931602,0.732051104,0,1.197676709
TCGA.OR.A5LN.01A.11R.A29S.07,5.28136874,1.61429183,2.18067732,7.944849049,6.007967328,5.489154451,7.15260859,3.208811542,6.714266299,4.557955302,2.408373336,4.858183716,3.308516503,5.109611296
TCGA.OR.A5L6.01A.11R.A29S.07,3.76011983,0.592960445,3.528550935,7.110606424,3.615338046,2.420583063,3.337350829,2.350388431,6.082430133,2.250052025,2.404992396,3.360218581,3.218489639,3.610581958
TCGA.OR.A5K8.01A.11R.A29S.07,2.470417871,0.386691815,3.344245021,5.39146326,2.761610218,1.732492093,4.460624355,1.724833239,4.129889466,1.964509533,1.910817266,2.219713384,0.862403941,0
TCGA.OR.A5L3.01A.11R.A29S.07,2.21717337,0.475914879,4.09695827,6.34880118,1.436938568,1.281038071,3.027095532,2.12724766,2.361835042,2.759177144,1.582281863,0.62791027,0,1.692471835
TCGA.OR.A5LD.01A.11R.A29S.07,1.897446225,0.412296849,0.98685577,4.062342003,2.004671386,1.067996578,0.946428638,1.162725297,2.712813809,4.715047708,2.239418307,1.836015845,0.894745086,2.684235259
TCGA.OR.A5L9.01A.11R.A29S.07,4.579595213,1.654808018,5.290812602,7.645555056,4.845839726,4.8523603,6.077924474,2.543002099,6.696297499,5.698051747,1.777460163,7.056655992,3.12339437,3.554920326
TCGA.PA.A5YG.01A.11R.A29S.07,5.302831609,1.884759773,3.98773799,9.497475022,5.698267481,5.766311083,6.910303821,3.457010843,5.864997284,3.090396166,1.671937261,10.18469429,3.558816115,4.415630235
TCGA.P6.A5OG.01A.22R.A29S.07,6.203547776,2.09843812,7.701852784,10.00702876,6.547540443,6.211776711,7.74835629,7.484697811,7.922681767,3.502559744,2.582694103,2.928701082,2.289349144,6.171687219
TCGA.BT.A0S7.01A.11R.A10U.07,4.442521664,3.562288747,5.440646892,7.304726797,4.346435726,4.733760453,7.287979823,4.137815689,4.471756792,4.098933223,1.576137988,4.548942252,2.038198956,1.716595882
TCGA.BT.A0YX.01A.11R.A10U.07,5.752500413,3.438306178,5.452594483,9.050560598,5.609470852,6.453267364,7.708814787,5.973261211,7.02322801,6.62934059,1.982088833,7.630701376,2.142378875,4.194299847
TCGA.C4.A0F0.01A.12R.A10U.07,4.634003903,1.283999046,7.124919107,7.968191535,4.382126174,4.993302983,6.534311563,4.129970436,5.478569039,4.952752894,1.428199281,6.445000092,1.732998182,4.558451327
TCGA.C4.A0F6.01A.11R.A10U.07,4.196323879,1.958140781,4.587161644,7.370294695,5.366062912,4.782197843,5.32869862,3.400075088,5.112610148,5.044971082,1.430520921,5.637750388,1.698764939,1.978817978
TCGA.CU.A0YN.01A.21R.A10U.07,5.538589059,4.271143583,6.848603987,8.343574909,5.258966991,6.506810484,6.746389447,6.32901686,5.75352339,7.651769989,2.215703726,6.216837914,1.630415019,4.049935653
TCGA.CU.A0YN.11A.11R.A10U.07,3.627190111,3.626227578,8.128413841,8.848797099,4.434337467,2.944316183,3.359571198,2.75770785,2.776160844,2.789040599,1.15920545,8.493146805,0.261808335,1.664846882
TCGA.CU.A0YR.01A.12R.A10U.07,5.558793677,2.961047992,7.023301589,9.662216138,5.540637923,5.863440677,5.840568861,5.291070465,6.607744284,7.002687895,2.141786833,4.72650591,3.0705889,4.035755858
TCGA.CU.A0YO.01A.11R.A10U.07,4.902405153,3.285247394,6.606538663,7.435855127,5.569840036,6.330226857,5.090310125,3.844797331,5.760006537,5.423057066,1.527201123,7.427632556,1.867282164,4.124791311
TCGA.CU.A0YR.11A.13R.A10U.07,5.615497196,6.914044205,6.943646475,7.95213718,5.881497599,6.443721128,6.759234591,2.885460343,6.2856237,4.688639172,2.142682134,9.865397979,2.814841638,3.606027601
TCGA.CF.A1HR.01A.11R.A13Y.07,4.677758004,3.786049249,4.910619454,7.396351862,5.246918344,5.59507287,6.391054914,3.538759897,5.750031599,4.571106414,1.642741427,6.749420351,0.927575879,3.796971461
TCGA.BL.A13I.01A.11R.A13Y.07,5.98908946,1.668837152,8.772833528,11.32344173,6.348941744,7.18102323,6.169417559,5.183925636,6.576799261,7.24480621,2.953231441,10.05067502,3.078819643,4.812683043
TCGA.CF.A1HS.01A.11R.A13Y.07,4.506794918,2.244624411,5.85707009,8.602483537,4.977860605,4.133626544,4.669206598,4.556341336,4.376843047,5.552423184,1.460266844,3.28479455,3.05574922,2.921245889
TCGA.DK.A1A3.01A.11R.A13Y.07,5.325504196,3.401199905,7.037052995,8.847671993,6.315421086,5.388678244,6.109730461,4.763604729,5.772042227,5.598618298,1.9265431,7.805758431,2.768044621,4.102212994
TCGA.BT.A20J.01A.11R.A14Y.07,6.607904799,5.709472304,6.726828416,9.268370492,7.379526969,7.050831768,8.276704499,4.103899825,7.234655806,7.074190712,3.259240751,4.432655,4.278561088,5.161827233
TCGA.BT.A20N.01A.11R.A14Y.07,3.315813242,0.939613878,4.910592435,6.213065073,5.582280369,2.651042805,3.161415929,3.160445896,3.190991427,3.293988397,0.818281984,2.741678163,2.205764122,2.554687074
TCGA.BT.A20N.11A.11R.A14Y.07,4.477194295,4.773110032,7.992842388,8.940477489,5.203841146,4.098376299,3.532877303,5.95928411,3.089961533,2.834508974,0.852306997,9.264048557,1.408000645,2.169796756
TCGA.BT.A20O.01A.21R.A14Y.07,8.486514365,6.580578481,8.568629428,11.84296849,9.120362453,9.416154881,10.8754034,5.844830693,9.619314439,7.666393743,4.151429346,9.21161557,5.819691509,7.408362013
TCGA.BT.A20P.01A.11R.A14Y.07,2.744825531,0.252815276,4.725418297,4.754701771,3.746971102,2.350062461,6.119473339,2.600056566,3.028765372,3.751570837,0.66662407,3.347925869,0.57901916,1.406808748
TCGA.BT.A20Q.01A.11R.A14Y.07,5.451022167,3.936011195,5.170088778,8.22811206,5.879800695,6.390698414,7.081464021,3.928093467,6.037954474,7.312933766,1.810707063,6.647169124,2.291924398,4.937019467
TCGA.BT.A20Q.11A.11R.A14Y.07,2.912203324,0.101482159,6.980848306,7.899496111,4.547917851,1.749773762,2.240134251,2.256810074,3.123354826,0.913339435,0.466993878,8.887838898,0.622658505,2.180657108
TCGA.BT.A20T.01A.11R.A14Y.07,5.169659238,1.576688089,4.942319252,7.669830469,5.39014955,6.021411815,6.90491446,4.134845144,6.408347779,7.276843712,2.561139983,4.480491027,3.766213356,3.788727467
TCGA.BT.A20U.11A.11R.A14Y.07,5.771369883,5.650112818,4.725655554,6.711220727,5.782458292,6.280464458,7.472087811,3.873004906,7.184095393,6.08004362,2.659532059,7.186493535,4.307627139,4.504963548
TCGA.BT.A20U.01A.11R.A14Y.07,4.104957969,1.346060744,5.725750943,7.553068838,4.143616673,4.34911685,5.538390766,3.769841465,4.862311868,5.772300056,1.344414192,4.744481219,2.168420961,2.477625524
TCGA.BT.A20W.01A.21R.A14Y.07,5.407313706,4.47181232,5.715327187,6.977383165,6.087921862,6.389913508,6.801428654,3.688101838,6.233881363,7.439482684,1.960080781,7.434415806,3.275441779,4.030803951
TCGA.BT.A20V.01A.11R.A14Y.07,4.539979751,1.780037542,3.290611231,6.246945592,5.50001698,4.940490172,5.517502625,3.816784115,5.871698103,5.394246596,2.328587342,2.864158018,1.981024482,3.804363383
TCGA.BL.A0C8.01A.11R.A10U.07,3.275104343,0.483764434,3.845293155,7.352473568,5.430587303,3.122580448,1.416571552,3.593009529,3.051798321,3.214855296,1.025994489,4.040680378,2.052672531,1.737124282
TCGA.BT.A20W.11A.11R.A14Y.07,6.33125752,4.400349982,7.354817082,8.555161898,6.821212641,7.677662004,8.432525328,4.141586468,7.484489931,7.991219103,2.567568959,9.523589285,3.850462789,5.010462089
TCGA.BL.A13J.01A.11R.A10U.07,4.243519365,1.14112119,4.70392295,7.52345821,4.889619169,4.059189144,5.103552481,4.210444941,4.399956412,5.246670303,1.323075977,5.500704047,4.029439003,2.368628682
TCGA.BL.A13J.11A.13R.A10U.07,3.180451235,0.354264893,7.273093346,9.464652981,4.587402782,1.930574675,1.495688138,5.300692761,2.308516432,0.797096008,0.582739582,9.585360249,0.997125425,0
TCGA.DK.A1A5.01A.11R.A13Y.07,4.34122712,1.405502662,5.126548764,7.265276361,4.835307803,4.473330835,5.531112443,3.402144057,5.4388751,5.398028793,1.307727511,5.113566624,1.35219659,4.840674713
TCGA.DK.A1A6.01A.11R.A13Y.07,5.898572595,0.544126977,6.19467579,8.761475183,7.403161865,6.630482718,7.865795955,5.141833842,7.123478533,6.18196918,4.42453817,1.922670407,3.371707168,4.45274697
TCGA.DK.A1A7.01A.11R.A13Y.07,4.777385053,5.66327306,5.183693066,5.494556643,5.125878702,5.573030084,5.853623535,2.369930019,4.768613295,6.18757576,1.870946983,6.459021039,4.17645915,2.949684331
TCGA.DK.A1AA.01A.11R.A13Y.07,3.501695187,0.486719492,3.817947597,6.23645634,4.776117309,3.675970134,3.024860931,3.058020717,4.134381924,4.649994763,0.83358148,6.148293702,2.978395252,2.265526912
TCGA.DK.A1AB.01A.11R.A13Y.07,5.327973811,2.870849879,5.904649635,8.837462552,5.227604603,5.613116623,5.875522298,5.170197731,5.779163669,6.927965174,2.621797142,7.419040102,3.478374728,3.68993649
TCGA.DK.A1AC.01A.11R.A13Y.07,6.039333971,2.753609285,6.364724908,9.026690314,6.316348572,7.019795269,7.908341067,3.695434526,7.191331276,7.595191081,3.40426379,3.174527421,4.219593964,5.037891732
TCGA.DK.A1AD.01A.11R.A13Y.07,4.736403434,3.490635345,4.190436563,7.071627419,5.916882496,5.206420779,5.940975116,3.928983263,5.420797647,5.423588255,1.552841819,4.994664807,2.880304406,2.317333015
TCGA.DK.A1AE.01A.11R.A13Y.07,4.085171453,0.458973313,2.4675226,6.201092863,5.571283956,3.931770134,4.715656055,1.725452875,5.89707042,6.11043424,2.769116541,2.90011518,3.076235143,2.993801147
TCGA.DK.A1AG.01A.11R.A13Y.07,4.46438226,0.961080042,3.977541331,6.594409657,4.95970407,4.989411248,6.051986428,5.029887542,5.593460094,4.622256858,1.117533102,4.269466009,3.080409786,3.062864288
TCGA.DK.A1AF.01A.11R.A13Y.07,6.393138568,4.430915299,8.071104085,9.836407647,6.123459718,6.889012376,7.541388989,7.205119853,7.508725837,7.006528056,2.500720743,8.380939386,2.576087798,5.029625151
TCGA.BT.A20R.01A.12R.A16R.07,4.620086271,1.454200165,6.181786166,9.132932287,4.85342639,4.108707064,5.366301255,4.701065659,5.71340996,2.184502475,2.017582498,6.702647113,2.728535499,2.528096176
TCGA.BT.A20R.11A.11R.A16R.07,3.449576058,0.514186115,7.013857513,8.008708612,4.769579859,2.759721715,3.138449215,4.579196819,3.856947117,1.371224286,0.598897916,10.47247009,0.832692312,1.754631
TCGA.BT.A20X.01A.11R.A16R.07,4.82032846,2.647346759,5.080283118,7.631482564,4.516342903,4.952640544,6.319601047,4.41404552,5.849197609,6.501896085,1.82319173,4.931500945,3.653980397,2.996406825
TCGA.BT.A2LA.01A.11R.A18C.07,3.702188453,2.929324869,3.787413848,5.919687907,4.393055455,2.291455813,7.318812336,3.50238214,2.862401805,4.481369989,0.721335798,2.044177724,3.345625363,2.842174318
TCGA.BT.A2LA.11A.11R.A18C.07,5.346390617,2.100122175,6.123457181,7.078842403,6.546748833,6.56334752,7.968033332,3.703816357,6.956042509,4.825500723,1.748543496,5.460235122,3.111024762,4.892002369
TCGA.BT.A2LB.01A.11R.A18C.07,5.469187215,4.02997295,5.806547349,8.541406437,4.792032533,5.537268364,6.28025233,6.298922837,6.525651306,6.142640118,2.525232036,6.693662092,3.421862437,3.631337144
TCGA.BT.A2LB.11A.11R.A18C.07,6.377903568,6.842744726,6.824837302,8.816023994,6.017636963,6.99556901,7.171752929,6.237164258,6.837003644,5.667957391,2.947251406,7.823769073,2.931329228,4.982409536
TCGA.CF.A27C.01A.11R.A16R.07,3.122706606,0.707546503,1.668011144,4.318992416,3.684909006,3.12251174,4.494988029,1.723227624,4.203224224,3.994127114,1.051963159,2.2465487,2.987566211,1.89328454
TCGA.DK.A2HX.01A.12R.A18C.07,4.190852203,2.523175816,7.273768756,8.58651468,3.855211701,4.661375815,5.003295539,3.807840153,4.30230938,5.483815777,1.561556771,7.717104052,0.961242671,2.49934843
TCGA.DK.A2I1.01A.11R.A180.07,5.596866719,6.009488904,7.606073953,9.008046318,6.154707177,5.678856313,5.817347399,4.471100382,6.420830139,6.782053352,2.123281764,7.259928306,3.164730044,3.255334549
