,alltottils,B-cells,DC,Macrophages,Exhausted CD8,T-cells,CD8 T cells,Neutrophils,Cytotoxic cells,Treg,NK CD56dim cells,Mast cells,NK cells,Th1 cells
TCGA.AB.3006.03A.01T.0736.13,6.155280248,6.717588328,0,8.005919784,7.263468574,7.060685687,4.761437644,4.548311213,6.603482305,3.70509322,2.365965359,9.299232875,2.515189407,5.705809301
TCGA.AB.3001.03A.01T.0736.13,7.55388436,6.778634168,0.755295639,7.668189557,8.112991062,8.826181597,8.035369378,7.478046037,8.908021636,4.541960812,3.347784698,9.734681136,3.297451684,7.836801497
TCGA.AB.2825.03A.01T.0736.13,6.443260887,5.504817118,1.61993016,11.90527181,6.244884896,5.041925121,4.811541107,8.343805151,6.24731033,4.24039066,3.239753843,6.379778082,1.469665372,4.084208867
TCGA.AB.2874.03A.01T.0735.13,5.666624294,4.287800999,1.644892664,8.942980311,7.119453105,4.93370399,4.155145719,7.803833537,5.727341532,3.670194513,1.460879814,7.708665242,1.291444717,3.548979075
TCGA.AB.2901.03A.01T.0735.13,6.038984786,4.49997203,0.438135503,8.186585782,6.058938639,5.238823942,6.065101123,7.241004939,6.275748938,3.209890007,2.728552687,11.93103641,1.577255452,5.010189036
TCGA.AB.2817.03A.01T.0736.13,7.212680764,7.150148838,2.497943802,9.583200284,7.848893231,6.408598014,6.204582337,7.713092673,7.24139948,2.804900253,4.356202769,10.10018395,3.543707578,6.567933266
TCGA.AB.2967.03A.01T.0734.13,6.199425633,5.391706957,1.429981699,9.029731142,6.055315507,5.946482213,4.870385697,8.743501873,6.232550231,4.016638942,2.570060626,7.617469409,0.831932493,5.014466883
TCGA.AB.2873.03A.01T.0735.13,7.78411695,6.50647279,1.845446327,12.67278492,7.018786127,7.341464485,7.513205576,9.798290964,7.525775773,4.080956062,4.202012725,5.602390773,3.094910978,5.980594312
TCGA.AB.2992.03A.01T.0735.13,8.063121095,7.056736358,2.338550024,9.814667572,8.380275876,7.564473798,6.993416182,10.97688978,8.383192366,4.181985077,2.901419282,8.519934372,5.429830755,7.301841852
TCGA.AB.2932.03A.01T.0740.13,6.376524877,4.968898115,1.803734841,11.5457131,6.139810421,4.789430804,4.857456724,8.246982027,6.337843405,1.971221642,3.127113188,5.291876471,1.79747677,4.598651048
TCGA.AB.2803.03A.01T.0734.13,5.899673062,4.506224585,0.676943477,7.025859224,6.535267169,7.15223955,5.644090731,7.842721803,6.549684029,3.77128345,2.264346264,11.10301117,0.537466561,5.169099223
TCGA.AB.2881.03A.01T.0735.13,7.772041804,7.089853926,2.224809009,9.927656568,8.435659936,8.427045128,8.290124352,8.260397132,8.287582522,4.627052298,3.547097772,9.357160116,3.073387349,6.183478574
TCGA.AB.2908.03A.01T.0740.13,7.842674419,6.153181329,0.83090431,8.517878661,9.052313896,8.896320101,8.341384389,8.436014764,8.806259835,5.327647848,3.417931329,7.351618635,5.225112336,6.927380944
TCGA.AB.2839.03A.01T.0734.13,5.608407886,4.810835859,1.266428942,7.535567991,7.534773451,6.427892471,3.501028071,5.495731697,5.813770267,3.547523862,1.481190091,8.877939921,2.378445179,3.615345668
TCGA.AB.2884.03A.01T.0735.13,7.058196417,7.018614033,0.643137429,12.16126003,7.223884544,6.746838412,6.94951295,8.173960239,6.652882555,4.731661164,2.153482809,8.306386873,1.546478273,5.499578047
TCGA.AB.2925.03A.01T.0735.13,5.770414819,4.840418022,3.665309716,10.14413189,6.426308616,3.889870684,4.720641766,6.908953257,5.784009369,3.340348626,2.305386535,5.214827836,1.82500777,3.798216451
TCGA.AB.2863.03A.01T.0734.13,5.363240953,4.655379247,0.701725064,9.945710132,6.660122763,5.372640643,3.994165252,6.95463815,4.110693224,2.668278003,1.455452435,3.713205523,1.631986684,0.731617723
TCGA.AB.2912.03A.01T.0734.13,6.403333878,5.817647832,4.207474659,10.98728202,7.066715588,6.076344688,5.811571241,6.597097273,5.752341004,3.258503849,1.316805168,5.20802288,3.391471625,4.165847639
TCGA.AB.2904.03A.01T.0734.13,7.388492106,7.330472209,1.568713133,8.033697994,8.54649718,8.22243386,7.742344873,4.400221927,8.382906139,4.900383817,4.050560078,8.459097824,4.363662649,6.991216835
TCGA.AB.2948.03A.01T.0740.13,7.484044929,6.391768848,1.079320933,11.08176039,8.298932539,7.172254882,6.537038699,9.86215146,7.179782699,5.581339195,3.249635034,6.220648605,3.171534308,5.56159192
TCGA.AB.2910.03A.01T.0740.13,6.007178522,5.49085614,3.563858229,7.588333791,6.037662024,5.421998332,5.62582372,6.854193361,6.540655371,4.056557518,3.321619582,3.950361208,2.310283654,5.237192749
TCGA.AB.2828.03A.01T.0734.13,6.086084768,5.122717043,3.03751082,11.28692116,5.998940924,4.645516168,4.379598101,8.396076193,5.678659141,3.909293086,1.736846906,6.89814639,1.393547657,4.223059514
TCGA.AB.2999.03B.01T.0748.13,7.231746665,6.763676301,1.071487375,6.744909642,7.710581784,8.791689065,7.64202334,6.539417265,8.556923849,4.588276889,3.97359951,12.51247421,3.782678435,6.566529022
TCGA.AB.2856.03A.01T.0736.13,6.810244616,6.03202462,1.918201282,8.93530158,7.730354134,7.117824925,5.943674157,7.272651964,7.310126177,4.584499562,3.839172789,5.767250177,2.38013739,5.370230554
TCGA.AB.2924.03A.01T.0740.13,6.405510159,5.361933456,1.701711092,10.60165278,6.580059641,6.367338207,5.259190401,8.627102832,6.124234863,4.992269926,2.714213385,7.479566978,0.819696859,4.037751195
TCGA.AB.2909.03A.01T.0744.13,5.702866359,4.215867982,0,7.163700094,8.200975715,6.849301279,4.813587846,6.15812905,5.144008357,3.882858215,2.215838076,6.91210162,1.115729419,3.623738128
