"","yhat","obs","resid"
"ICP20th.L11.ICPKilo.ROI146.TME.A08",13.5508497814501,26.784804409322,0.983031434466366
"ICP20th.L11.ICPKilo.ROI147.TME.A10",54.7285730439485,34.6864392723415,-0.657922492443895
"ICP20th.L11.ICPKilo.ROI148.TME.A12",16.3225050419833,28.5878113443063,0.808537685726559
"ICP20th.L11.ICPKilo.ROI149.TME.B02",1.50829537821771,1.99709931844526,0.404987094139198
"ICP20th.L11.ICPKilo.ROI15.TME.C07",2.12878427744039,1.91979816785268,-0.149075114641956
"ICP20th.L11.ICPKilo.ROI150.TME.B04",2.23851271451968,1.95463143301509,-0.195643915263937
"ICP20th.L11.ICPKilo.ROI151.TME.B06",1.93165097821341,1.95733887742341,0.0190591105464276
"ICP20th.L11.ICPKilo.ROI152.TME.B08",1.38186140777988,1.70010650269635,0.299012196899867
"ICP20th.L11.ICPKilo.ROI153.TME.B10",1.66002932199194,1.55384709441153,-0.0953641818896608
"ICP20th.L11.ICPKilo.ROI154.TME.B12",1.13745202973218,1.55766567604493,0.453579915799598
"ICP20th.L11.ICPKilo.ROI155.TME.C02",2.70681200769734,3.06003049777159,0.176951337980798
"ICP20th.L11.ICPKilo.ROI156.TME.C04",3.48023961294521,3.87689670991803,0.155715660246391
"ICP20th.L11.ICPKilo.ROI157.TME.C06",11.793054399716,29.745359109669,1.33472717119451
"ICP20th.L11.ICPKilo.ROI158.TME.C08",2.27390973384656,2.07358903443241,-0.13304499140368
"ICP20th.L11.ICPKilo.ROI159.TME.C10",2.01197743187011,2.08475969248433,0.0512669730059583
"ICP20th.L11.ICPKilo.ROI16.TME.C09",2.56953386578944,3.6525365622738,0.507392048015054
"ICP20th.L11.ICPKilo.ROI160.TME.C12",45.0534441103207,42.1634463157357,-0.0956446036380934
"ICP20th.L11.ICPKilo.ROI161.TME.D02",3.00822616904812,3.1324726541539,0.0583888771769965
"ICP20th.L11.ICPKilo.ROI162.TME.D04",2.47954626411844,2.02103819996035,-0.294979553258764
"ICP20th.L11.ICPKilo.ROI163.TME.D06",2.57318911365412,3.13330208250091,0.284126376807635
"ICP20th.L11.ICPKilo.ROI164.TME.D08",1.65044377242189,1.69096832858537,0.0349956492469888
"ICP20th.L11.ICPKilo.ROI165.TME.D10",1.93290565442105,1.89703121780572,-0.0270278008518249
"ICP20th.L11.ICPKilo.ROI166.TME.D12",15.2300251271456,39.5107700891872,1.37532764355542
"ICP20th.L11.ICPKilo.ROI167.TME.E02",1.99160148864847,1.39626798142059,-0.512353138732354
"ICP20th.L11.ICPKilo.ROI168.TME.E04",4.29521544551373,6.69045529395702,0.639373893507738
"ICP20th.L11.ICPKilo.ROI169.TME.E06",3.61920110224203,3.71042747608607,0.0359141346180625
"ICP20th.L11.ICPKilo.ROI17.TME.C11",3.91421884192494,3.27794056078403,-0.255934724398965
"ICP20th.L11.ICPKilo.ROI170.TME.E08",13.6102012962391,35.2907145419403,1.37460023649939
"ICP20th.L11.ICPKilo.ROI171.TME.E10",29.3541252570934,36.8086912191983,0.326483188231841
"ICP20th.L11.ICPKilo.ROI172.TME.E12",32.2622142799973,33.612601553005,0.0591567492794542
"ICP20th.L11.ICPKilo.ROI173.TME.F02",3.02996988565058,3.39487335789388,0.164054302212405
"ICP20th.L11.ICPKilo.ROI174.TME.F04",2.88074716355026,3.19989939864751,0.151583504984377
"ICP20th.L11.ICPKilo.ROI175.TME.F06",2.3754824679776,3.19597795052593,0.428036895842027
"ICP20th.L11.ICPKilo.ROI176.TME.F08",2.75562884508916,2.40213740997256,-0.198062904726172
"ICP20th.L11.ICPKilo.ROI177.TME.F10",1.93976809324636,1.30075710661449,-0.57653259354727
"ICP20th.L11.ICPKilo.ROI178.TME.F12",2.39809395220301,2.34902914014463,-0.0298235712098618
"ICP20th.L11.ICPKilo.ROI179.TME.G02",2.53279308344153,1.93645038429227,-0.387314683752076
"ICP20th.L11.ICPKilo.ROI18.TME.D01",3.789494792726,4.5431773019852,0.261696084868992
"ICP20th.L11.ICPKilo.ROI180.TME.G04",1.82876604611797,1.24735506029591,-0.551998335485416
"ICP20th.L11.ICPKilo.ROI181.TME.G06",2.2380655641301,2.25238861265164,0.00920346153727492
"ICP20th.L11.ICPKilo.ROI182.TME.G08",2.26529055708063,2.39690935093902,0.0814792393699635
"ICP20th.L11.ICPKilo.ROI183.TME.G10",4.33338416910517,2.24900657427321,-0.946206263661703
"ICP20th.L11.ICPKilo.ROI184.TME.G12",1.96232827432499,3.08444701380707,0.652445455561425
"ICP20th.L11.ICPKilo.ROI185.TME.H02",4.32062482939054,4.99940097688459,0.210515279432889
