"","yhat","obs","resid"
"ICP20th.L11.ICPKilo.ROI148.TME.A12",20.4744431708434,23.0397128518288,0.170298519890511
"ICP20th.L11.ICPKilo.ROI149.TME.B02",82.5379385647571,64.4556014192027,-0.35675166728353
"ICP20th.L11.ICPKilo.ROI15.TME.C07",194.94765289817,123.263261526627,-0.661343915084974
"ICP20th.L11.ICPKilo.ROI150.TME.B04",392.144216143801,317.092531599546,-0.306480423411809
"ICP20th.L11.ICPKilo.ROI151.TME.B06",191.84155567373,245.943604840061,0.358412278848481
"ICP20th.L11.ICPKilo.ROI152.TME.B08",115.869429141625,135.647115292942,0.227358389684846
"ICP20th.L11.ICPKilo.ROI153.TME.B10",79.8160151372706,91.2270821482727,0.19278392073574
"ICP20th.L11.ICPKilo.ROI154.TME.B12",75.0386827145314,94.6149024088477,0.334432932574019
"ICP20th.L11.ICPKilo.ROI155.TME.C02",103.801519543463,98.6798244795393,-0.0730005087151211
"ICP20th.L11.ICPKilo.ROI156.TME.C04",109.58898138409,75.8961795855817,-0.530003578825148
"ICP20th.L11.ICPKilo.ROI157.TME.C06",148.074230806483,133.362327483978,-0.150969403805936
"ICP20th.L11.ICPKilo.ROI158.TME.C08",62.1223835769725,46.3180372159204,-0.423539066991563
"ICP20th.L11.ICPKilo.ROI159.TME.C10",42.5801592963266,24.8742305713383,-0.775529447252595
"ICP20th.L11.ICPKilo.ROI16.TME.C09",87.9730712523924,108.578819348758,0.303608817300208
"ICP20th.L11.ICPKilo.ROI160.TME.C12",37.2365455947994,36.9421042897215,-0.0114531942091238
"ICP20th.L11.ICPKilo.ROI161.TME.D02",28.0836219479663,22.7059761353582,-0.306656952286771
"ICP20th.L11.ICPKilo.ROI162.TME.D04",22.0699391671449,26.22552126433,0.248888795391234
"ICP20th.L11.ICPKilo.ROI163.TME.D06",217.56409808275,184.311416618729,-0.239295068916479
"ICP20th.L11.ICPKilo.ROI164.TME.D08",205.677031370858,201.678832884005,-0.0283210179149576
"ICP20th.L11.ICPKilo.ROI165.TME.D10",128.326469911643,157.572324216485,0.296195378147725
