"","gene","yhat","observed"
"1","MT1M",2.01989133440468,2.01989133440468
"2","MT1M",1.1633479742852,1.1633479742852
"3","MT1M",0.949448678584489,0.949448678584489
"4","MT1M",0.78612525866205,0.78612525866205
"5","MT1M",1.55409618748799,1.55409618748799
"6","MT1M",1.68365577780627,1.68365577780627
"7","MT1M",0.841928229059738,0.841928229059738
"8","MT1M",1.44088019294278,1.44088019294278
"9","MT1M",3.02665616780021,3.02665616780021
"10","MT1M",2.28440418399004,2.28440418399004
"11","MT1M",1.07607708878595,1.07607708878595
"12","MT1M",0.941445590016566,0.941445590016566
"13","MT1M",0.668249378468204,0.668249378468204
"14","MT1M",1.15376885598288,1.15376885598288
"15","MT1M",0.796781007584357,0.796781007584357
"16","MT1M",0.935812583454131,0.935812583454131
"17","MT1M",0.757749556298404,0.757749556298404
"18","MT1M",1.09039922744412,1.09039922744412
"19","MT1M",0.846125925361178,0.846125925361178
"20","MT1M",1.83215161680339,1.83215161680339
"21","MT1M",2.14767019362148,2.14767019362148
"22","MT1M",1.6185293896973,1.6185293896973
"23","MT1M",0.73858393287324,0.73858393287324
"24","MT1M",1.71921183396697,1.71921183396697
"25","MT1M",1.00681561351041,1.00681561351041
"26","MT1M",0.657578483891766,0.657578483891766
"27","MT1M",0.877602577575916,0.877602577575916
"28","MT1M",0.613902421586453,0.613902421586453
"29","MT1M",0.956131334843541,0.956131334843541
"30","MT1M",0.945320179978003,0.945320179978003
"31","MT1M",0.946617374730934,0.946617374730934
"32","MT1M",2.05556860836512,2.05556860836512
"33","MT1M",3.05572173957402,3.05572173957402
"34","MT1M",1.75900242629957,1.75900242629957
"35","MT1M",0.438445709409026,0.438445709409026
"36","MT1M",1.00597137395092,1.00597137395092
"37","MT1M",1.00135739606727,1.00135739606727
"38","MT1M",1.12142848223323,1.12142848223323
"39","MT1M",1.34623324682693,1.34623324682693
"40","MT1M",1.29440455911064,1.29440455911064
"41","MT1M",0.787306684766207,0.787306684766207
"42","MT1M",1.04896348050987,1.04896348050987
"43","MT1M",2.03573711326485,2.03573711326485
"44","MT1M",0.75936061670694,0.75936061670694
"45","MT1M",0.957440874083369,0.957440874083369
"46","MT1M",1.82634590001245,1.82634590001245
"47","MT1M",1.34847962029693,1.34847962029693
"48","MT1M",1.15606980444717,1.15606980444717
"49","MT1M",1.37357224805694,1.37357224805694
"50","MT1M",1.23613158250918,1.23613158250918
"51","MT1M",2.27085018921715,2.27085018921715
"52","MT1M",0.840241090836633,0.840241090836633
"53","MT1M",0.845412256221855,0.845412256221855
"54","MT1M",1.35503548980545,1.35503548980545
"55","MT1M",0.910097337521725,0.910097337521725
"56","MT1M",0.870366394949727,0.870366394949727
"57","MT1M",0.638238579313357,0.638238579313357
"58","MT1M",1.00254949631395,1.00254949631395
"59","MT1M",0.971149766214886,0.971149766214886
"60","MT1M",0.665340562246952,0.665340562246952
