"","x"
"335","DGKK"
"336","DKK1"
"337","DKK2"
"338","DKK3"
"339","DLL1"
"340","DLL4"
"341","DNAH6"
"342","DNAH8"
"343","DNAJC5B"
"344","DNASE1L3"
"345","DNTT"
"346","DOK7"
"347","DPEP1"
"348","DPEP2"
"349","DPP4"
"350","DPT"
"351","DPYSL3"
"352","DSC1"
"353","DSEL"
"354","DSG3"
"355","DTHD1"
"356","DTNA"
"357","DUSP2"
"358","DYTN"
"359","EBF1"
"360","EBI3"
"361","ECSCR"
"362","EDAR"
"363","EDN1"
"364","EFNA5"
"365","EGF"
"366","EGFL7"
"367","EGR1"
"368","EGR2"
"369","EHF"
"370","ELANE"
"371","ELOVL4"
"372","EMCN"
"373","EMID1"
"374","ENG"
"375","ENHO"
"376","ENPP3"
"377","EOMES"
"378","EPHB3"
"379","EPHB6"
"380","EPHX4"
"381","EPX"
"382","EREG"
"383","ERG"
"384","ETS1"
"385","ETV1"
"386","ETV4"
"387","F13A1"
"388","FAM111B"
"389","FAM124B"
"390","FAM153A"
"391","FAM153C"
"392","FAM177B"
"393","FAM198B"
"394","FAP"
"395","FASLG"
"396","FAT4"
"397","FBLN5"
"398","FBLN7"
"399","FBN2"
"400","FBP1"
"401","FCAR"
"402","FCER1A"
"403","FCER2"
"404","FCGBP"
"405","FCGR2B"
"406","FCGR3B"
"407","FCN1"
"408","FCRL1"
"409","FCRL2"
"410","FCRL3"
"411","FCRL5"
"412","FCRL6"
"413","FCRLA"
"414","FES"
"415","FEZ1"
"416","FFAR2"
"417","FGF2"
"418","FIBCD1"
"419","FIBIN"
"420","FKBP10"
"421","FLI1"
"422","FLT1"
"423","FLT3"
"424","FLT4"
"425","FLVCR2"
"426","FN1"
"427","FOLR2"
"428","FOSB"
"429","FOSL1"
"430","FOXP3"
"431","FPR1"
"432","FPR2"
"433","FPR3"
"434","FREM1"
"435","FSD1"
"436","FSTL3"
"437","FXYD6"
"438","FZD2"
"439","GADD45G"
"440","GAL3ST4"
"441","GALR1"
"442","GBP1"
"443","GFI1"
"444","GFPT2"
"445","GGT5"
"446","GIMAP5"
"447","GIMAP6"
"448","GIMAP7"
"449","GIPR"
"450","GJA4"
"451","GLB1L2"
"452","GLDC"
"453","GLIS3"
"454","GNA14"
"455","GNAL"
"456","GNG4"
"457","GNG7"
"458","GNLY"
"459","GPA33"
"460","GPBAR1"
"461","GPC4"
"462","GPNMB"
"463","GPR1"
"464","GPR171"
"465","GPR18"
"466","GPR183"
"467","GPR19"
"468","GPR20"
"469","GPR25"
"470","GPR27"
"471","GPR65"
"472","GPR68"
"473","GPRC5B"
"474","GPRC5D"
"475","GRAP2"
"476","GRIP1"
"477","GUCY2D"
"478","GYPE"
"479","GZMA"
"480","GZMB"
"481","GZMH"
"482","GZMK"
"483","GZMM"
"484","HAL"
"485","HAPLN3"
"486","HAVCR1"
"487","HCK"
"488","HDC"
"489","HESX1"
"490","HEY1"
"491","HGF"
"492","HHEX"
"493","HHIP"
"494","HIC1"
"495","HIST1H2AE"
"496","HIST1H2BG"
"497","HK3"
"498","HKDC1"
"499","HLA-DOB"
"500","HLA-DPA1"
"501","HLA-DPB1"
"502","HLA-DQA1"
"503","HLA-DQB1"
"504","HLA-DRA"
"505","HMGA2"
"506","HOXA1"
"507","HOXA3"
"508","HOXA6"
"509","HOXA7"
"510","HPCAL4"
"511","HPGD"
"512","HPGDS"
"513","HPSE"
"514","HRASLS2"
"515","HRH1"
"516","HRH4"
"517","HRK"
"518","HSD11B1"
"519","HSPA6"
"520","HTR1B"
"521","HTR1F"
"522","HTR2B"
"523","HTR7"
"524","ICAM1"
"525","ICAM2"
"526","ICAM4"
"527","ICOS"
"528","ID1"
"529","IDO1"
"530","IDO2"
"531","IER3"
"532","IFI27"
"533","IFI44L"
"534","IFI6"
"535","IFIT1"
"536","IFIT2"
"537","IFIT3"
"538","IFNA10"
"539","IFNG"
"540","IGF1"
"541","IGFBP3"
"542","IGFBP4"
"543","IGLL1"
"544","IGSF6"
"545","IL12B"
"546","IL12RB2"
"547","IL13"
"548","IL15"
"549","IL16"
"550","IL17A"
"551","IL18R1"
"552","IL18RAP"
"553","IL1A"
"554","IL1B"
"555","IL1R1"
"556","IL1R2"
"557","IL1RL1"
"558","IL1RN"
"559","IL21"
"560","IL21R"
"561","IL22RA2"
"562","IL23R"
"563","IL26"
"564","IL2RA"
"565","IL2RB"
"566","IL3"
"567","IL31RA"
"568","IL32"
"569","IL34"
"570","IL3RA"
"571","IL4"
"572","IL4I1"
"573","IL5"
"574","IL5RA"
"575","IL6"
"576","IL6ST"
"577","IL7"
"578","IL7R"
"579","IL9"
"580","INHBA"
"581","INPP4B"
"582","IQCA1"
"583","IRF4"
"584","IRF8"
"585","ISM1"
"586","ITGA1"
"587","ITGA2"
"588","ITGA4"
"589","ITGA5"
"590","ITGA7"
"591","ITGAL"
"592","ITGB2"
"593","ITGB3"
"594","ITGB4"
"595","ITGB7"
"596","ITGB8"
"597","ITK"
"598","ITLN1"
"599","JAKMIP1"
"600","KCNA3"
"601","KCNA5"
"602","KCNG1"
"603","KCNG2"
"604","KCNH7"
"605","KCNH8"
"606","KCNIP3"
"607","KCNJ15"
"608","KCNK10"
"609","KCNK13"
"610","KCNMB1"
"611","KCNN3"
"612","KCTD12"
"613","KDR"
"614","KIAA0087"
"615","KIAA1211"
"616","KIF19"
"617","KIF5C"
"618","KIR2DL1"
"619","KIR2DL3"
"620","KIR2DL4"
"621","KIR3DL1"
"622","KIR3DL2"
"623","KIR3DX1"
"624","KIRREL3"
"625","KIT"
"626","KLF1"
"627","KLF4"
"628","KLHDC7A"
"629","KLHL33"
"630","KLHL4"
"631","KLK1"
"632","KLRB1"
"633","KLRC1"
"634","KLRC2"
"635","KLRC3"
"636","KLRC4"
"637","KLRD1"
"638","KLRF1"
"639","KLRG1"
"640","KLRK1"
"641","KNDC1"
"642","KRT1"
"643","KRT14"
"644","KRT23"
"645","KRT5"
"646","KRT7"
"647","KRT72"
"648","KRT73"
"649","KRT81"
"650","KRT86"
"651","KY"
"652","KYNU"
"653","L1TD1"
"654","LAG3"
"655","LAIR1"
"656","LAIR2"
"657","LAMA2"
"658","LAMC2"
"659","LAMP3"
"660","LAT"
"661","LAYN"
"662","LCK"
"663","LCN10"
"664","LDB2"
"665","LEF1"
"666","LEKR1"
"667","LEP"
"668","LGALS12"
"669","LGALS2"
"670","LGALS3"
"671","LGALS9B"
"672","LGALS9C"
"673","LGR6"
"674","LHCGR"
"675","LIF"
"676","LIFR"
"677","LILRA1"
"678","LILRA2"
"679","LILRA4"
"680","LILRA5"
"681","LILRB1"
"682","LILRB2"
"683","LINGO2"
"684","LIX1"
"685","LONRF3"
"686","LOXL3"
"687","LPAR1"
"688","LRG1"
"689","LRMP"
"690","LRP1B"
"691","LRP4"
"692","LRRC32"
"693","LRRC36"
"694","LRRC4"
"695","LRRC43"
"696","LRRN3"
"697","LST1"
"698","LTA"
"699","LTB"
"700","LTC4S"
"701","LTF"
"702","LTK"
"703","LUM"
"704","LY6E"
"705","LY86"
"706","LY9"
"707","LYNX1"
"708","LYPD2"
"709","LYZ"
"710","MACROD2"
"711","MAF"
"712","MAFB"
"713","MAGEA11"
"714","MAK"
"715","MAL"
"716","MAMDC2"
"717","MAN1A1"
"718","MAN1C1"
"719","MAP1A"
"720","MAP4K1"
"721","MAP9"
"722","MAPT"
"723","MARCO"
"724","MAST1"
"725","MBL2"
"726","MDGA2"
"727","MDS2"
"728","ME1"
"729","MECOM"
"730","MEFV"
"731","MELK"
